"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_844A","ACCT_844B","ACCT_844C","ACCT_844D","ACCT_844E","ACCT_844F","ACCT_844G","ACCT_844H","ACCT_844I","ACCT_844J","ACCT_844K","ACCT_844L","ACCT_844M","ACCT_844N","ACCT_844O","ACCT_844P","ACCT_844Q","ACCT_844R","ACCT_844S","ACCT_844T"
167,12/31/2013 0:00:00,87,"454038238","","","","","","","","","","","","","","","","","","",""
168,12/31/2013 0:00:00,88,"","","","","","","","","","","","","","","","","","","",""
169,12/31/2013 0:00:00,89,"","","","","","","","","","","","","","","","","","","",""
174,12/31/2013 0:00:00,91,"263933413","","","","","","","","","","","","","","","","","","",""
176,12/31/2013 0:00:00,92,"","","","","","","","","","","","","","","","","","","",""
177,12/31/2013 0:00:00,93,"320038917","","","","","","","","","","","","","","","","","","",""
181,12/31/2013 0:00:00,96,"","","","","","","","","","","","","","","","","","","",""
183,12/31/2013 0:00:00,98,"","","","","","","","","","","","","","","","","","","",""
187,12/31/2013 0:00:00,100,"","","","","","","","","","","","","","","","","","","",""
195,12/31/2013 0:00:00,104,"","","","","","","","","","","","","","","","","","","",""
196,12/31/2013 0:00:00,105,"010676994","205395927","","","","","","","","","","","","","","","","","",""
198,12/31/2013 0:00:00,107,"","","","","","","","","","","","","","","","","","","",""
199,12/31/2013 0:00:00,108,"","","","","","","","","","","","","","","","","","","",""
200,12/31/2013 0:00:00,109,"","","","","","","","","","","","","","","","","","","",""
205,12/31/2013 0:00:00,112,"","","","","","","","","","","","","","","","","","","",""
216,12/31/2013 0:00:00,116,"","","","","","","","","","","","","","","","","","","",""
220,12/31/2013 0:00:00,117,"","","","","","","","","","","","","","","","","","","",""
224,12/31/2013 0:00:00,119,"","","","","","","","","","","","","","","","","","","",""
227,12/31/2013 0:00:00,121,"510558705","205471734","","","","","","","","","","","","","","","","","",""
233,12/31/2013 0:00:00,124,"","","","","","","","","","","","","","","","","","","",""
234,12/31/2013 0:00:00,125,"","","","","","","","","","","","","","","","","","","",""
240,12/31/2013 0:00:00,128,"","","","","","","","","","","","","","","","","","","",""
242,12/31/2013 0:00:00,129,"","","","","","","","","","","","","","","","","","","",""
256,12/31/2013 0:00:00,136,"","","","","","","","","","","","","","","","","","","",""
258,12/31/2013 0:00:00,137,"","","","","","","","","","","","","","","","","","","",""
262,12/31/2013 0:00:00,139,"","","","","","","","","","","","","","","","","","","",""
263,12/31/2013 0:00:00,140,"","","","","","","","","","","","","","","","","","","",""
264,12/31/2013 0:00:00,141,"311435779","","","","","","","","","","","","","","","","","","",""
266,12/31/2013 0:00:00,143,"","","","","","","","","","","","","","","","","","","",""
267,12/31/2013 0:00:00,144,"","","","","","","","","","","","","","","","","","","",""
274,12/31/2013 0:00:00,149,"","","","","","","","","","","","","","","","","","","",""
275,12/31/2013 0:00:00,150,"","","","","","","","","","","","","","","","","","","",""
276,12/31/2013 0:00:00,151,"","","","","","","","","","","","","","","","","","","",""
